date,symbol,open,high,low,close,volume
2015-01-01,SPY,106.36,106.57,106.04,106.22,1745315
2015-01-02,SPY,107.13,107.86,106.29,106.78,2092431
2015-01-05,SPY,106.59,107.4,106.49,107.28,3780725
2015-01-06,SPY,108.72,109.1,108.28,108.96,3381218
2015-01-07,SPY,107.88,108.45,107.7,108.06,1986679
2015-01-08,SPY,106.81,107.37,106.72,107.27,4239685
2015-01-09,SPY,106.04,107.31,105.78,106.4,2330481
2015-01-12,SPY,105.18,105.37,104.75,104.98,3045267
2015-01-13,SPY,100.56,101.5,99.46,100.92,2868063
2015-01-14,SPY,102.03,103.02,101.72,102.41,7242736
2015-01-15,SPY,103.69,103.8,103.56,103.71,1781612
2015-01-16,SPY,101.21,101.6,101.17,101.39,2422514
2015-01-19,SPY,102.01,103.04,100.22,100.79,3651854
2015-01-20,SPY,99.72,99.74,99.36,99.72,5955460
2015-01-21,SPY,97.95,98.73,97.8,98.72,2811563
2015-01-22,SPY,95.17,95.67,95.13,95.6,6020120
2015-01-23,SPY,95.42,95.48,94.39,94.75,2403712
2015-01-26,SPY,95.11,96.05,94.44,95.64,2373803
2015-01-27,SPY,100.12,100.16,99.3,99.36,3502271
2015-01-28,SPY,100.1,100.23,99.69,100.0,1819131
2015-01-29,SPY,100.4,100.72,99.91,100.23,4268190
2015-01-30,SPY,100.02,100.64,98.53,99.51,1897106
2015-02-02,SPY,98.61,98.99,98.17,98.66,2192001
2015-02-03,SPY,99.53,100.55,99.51,100.11,1890401
2015-02-04,SPY,100.57,100.75,100.5,100.6,4165885
2015-02-05,SPY,99.51,101.25,97.95,99.69,5038400
2015-02-06,SPY,98.49,98.5,98.21,98.21,4636669
2015-02-09,SPY,97.48,98.28,97.23,98.02,2855964
2015-02-10,SPY,96.75,97.4,96.65,97.29,5188655
2015-02-11,SPY,96.41,98.01,96.32,97.33,3666166
2015-02-12,SPY,97.01,97.54,96.02,97.04,1295858
2015-02-13,SPY,97.54,97.8,96.9,97.66,2845763
2015-02-16,SPY,96.26,96.9,95.29,95.85,6111777
2015-02-17,SPY,97.87,99.55,96.73,97.47,4128225
2015-02-18,SPY,101.67,101.91,101.52,101.58,2071892
2015-02-19,SPY,103.1,103.57,103.1,103.45,4039659
2015-02-20,SPY,102.94,105.87,101.18,103.84,4373710
2015-02-23,SPY,105.51,105.53,105.27,105.27,3487690
2015-02-24,SPY,102.94,103.92,102.86,103.73,2908193
